Time,Channel A,Channel B
(ms),(mV),(mV)

-2.47347187,-9.51033400,-9.46727400
-2.47340787,-8.71678100,-8.67987200
-2.47334387,-7.92630300,-7.88939400
-2.47327987,-6.33919800,-6.31151500
-2.47321587,-4.75516700,-4.73363700
-2.47315187,-2.37758400,-2.36528000
-2.47308787,0.00000000,-0.78740150
-2.47302387,1.58403000,1.57787900
-2.47295987,3.96161400,3.94315900
-2.47289587,4.75516700,5.52103800
-2.47283187,6.33919800,7.10199300
-2.47276787,7.92630300,8.67987200
-2.47270387,7.92630300,8.67987200
-2.47263987,8.71678100,8.67987200
-2.47257587,7.92630300,7.88939400
-2.47251187,7.13275100,7.10199300
-2.47244787,5.54872000,5.52103800
-2.47238387,3.96161400,3.94315900
-2.47231987,2.37758400,2.36528000
-2.47225587,0.00000000,0.00000000
-2.47219187,-2.37758400,-2.36528000
-2.47212787,-3.96161400,-4.73363700
-2.47206387,-5.54872000,-6.31151500
-2.47199987,-7.13275100,-7.88939400
-2.47193587,-7.92630300,-8.67987200
-2.47187187,-8.71678100,-8.67987200
-2.47180787,-8.71678100,-8.67987200
-2.47174387,-8.71678100,-7.88939400
-2.47167987,-7.13275100,-7.88939400
-2.47161587,-5.54872000,-5.52103800
-2.47155187,-4.75516700,-3.94315900
-2.47148787,-2.37758400,-1.57787900
-2.47142387,0.00000000,0.78740150
-2.47135987,2.37758400,2.36528000
-2.47129587,4.75516700,4.73363700
-2.47123187,6.33919800,6.31151500
-2.47116787,7.13275100,7.88939400
-2.47110387,8.71678100,9.46727400
-2.47103987,9.51033400,9.46727400
-2.47097587,9.51033400,9.46727400
-2.47091187,8.71678100,8.67987200
-2.47084787,7.92630300,7.88939400
-2.47078387,6.33919800,6.31151500
-2.47071987,4.75516700,4.73363700
-2.47065587,3.16806100,2.36528000
-2.47059187,0.79047730,0.00000000
-2.47052787,-1.58403000,-2.36528000
-2.47046387,-4.75516700,-3.94315900
-2.47039987,-6.33919800,-6.31151500
-2.47033587,-7.92630300,-7.88939400
-2.47027187,-8.71678100,-9.46727400
-2.47020787,-9.51033400,-9.46727400
-2.47014387,-9.51033400,-10.25775000
-2.47007987,-8.71678100,-9.46727400
-2.47001587,-7.92630300,-8.67987200
-2.46995187,-7.13275100,-7.10199300
-2.46988787,-4.75516700,-4.73363700
-2.46982387,-3.16806100,-2.36528000
-2.46975987,-0.79047730,0.00000000
-2.46969587,1.58403000,1.57787900
-2.46963187,3.16806100,3.94315900
-2.46956787,5.54872000,5.52103800
-2.46950387,6.33919800,7.10199300
-2.46943987,7.92630300,8.67987200
-2.46937587,8.71678100,9.46727400
-2.46931187,9.51033400,8.67987200
-2.46924787,8.71678100,8.67987200
-2.46918387,7.92630300,7.88939400
-2.46911987,6.33919800,7.10199300
-2.46905587,4.75516700,4.73363700
-2.46899187,3.16806100,2.36528000
-2.46892787,0.79047730,0.78740150
-2.46886387,-1.58403000,-1.57787900
-2.46879987,-3.96161400,-3.94315900
-2.46873587,-5.54872000,-5.52103800
-2.46867187,-7.13275100,-7.10199300
-2.46860787,-8.71678100,-8.67987200
-2.46854387,-8.71678100,-9.46727400
-2.46847987,-8.71678100,-9.46727400
-2.46841587,-8.71678100,-9.46727400
-2.46835187,-7.92630300,-8.67987200
-2.46828787,-6.33919800,-6.31151500
-2.46822387,-5.54872000,-4.73363700
-2.46815987,-3.16806100,-3.15575800
-2.46809587,-1.58403000,-0.78740150
-2.46803187,0.79047730,1.57787900
-2.46796787,3.16806100,3.15575800
-2.46790387,4.75516700,4.73363700
-2.46783987,6.33919800,6.31151500
-2.46777587,7.92630300,7.88939400
-2.46771187,7.92630300,7.88939400
-2.46764787,8.71678100,7.88939400
-2.46758387,7.92630300,7.88939400
-2.46751987,7.13275100,7.10199300
-2.46745587,6.33919800,6.31151500
-2.46739187,3.96161400,4.73363700
-2.46732787,2.37758400,2.36528000
-2.46726387,0.79047730,0.00000000
-2.46719987,-1.58403000,-1.57787900
-2.46713587,-3.96161400,-3.94315900
-2.46707187,-5.54872000,-5.52103800
-2.46700787,-7.13275100,-7.10199300
-2.46694387,-7.92630300,-7.88939400
-2.46687987,-8.71678100,-8.67987200
-2.46681587,-8.71678100,-8.67987200
-2.46675187,-8.71678100,-8.67987200
-2.46668787,-7.92630300,-7.88939400
-2.46662387,-6.33919800,-5.52103800
-2.46655987,-3.96161400,-4.73363700
-2.46649587,-2.37758400,-1.57787900
-2.46643187,0.00000000,0.00000000
-2.46636787,1.58403000,2.36528000
-2.46630387,3.96161400,3.94315900
-2.46623987,5.54872000,6.31151500
-2.46617587,7.13275100,7.88939400
-2.46611187,8.71678100,8.67987200
-2.46604787,8.71678100,9.46727400
-2.46598387,8.71678100,8.67987200
-2.46591987,8.71678100,8.67987200
-2.46585587,7.92630300,7.88939400
-2.46579187,6.33919800,6.31151500
-2.46572787,4.75516700,4.73363700
-2.46566387,2.37758400,2.36528000
-2.46559987,0.79047730,0.00000000
-2.46553587,-2.37758400,-1.57787900
-2.46547187,-3.96161400,-3.15575800
-2.46540787,-6.33919800,-5.52103800
-2.46534387,-7.13275100,-7.88939400
-2.46527987,-8.71678100,-8.67987200
-2.46521587,-9.51033400,-9.46727400
-2.46515187,-10.30389000,-9.46727400
-2.46508787,-9.51033400,-9.46727400
-2.46502387,-8.71678100,-7.88939400
-2.46495987,-7.13275100,-7.10199300
-2.46489587,-5.54872000,-4.73363700
-2.46483187,-3.16806100,-3.15575800
-2.46476787,-0.79047730,-0.78740150
-2.46470387,1.58403000,1.57787900
-2.46463987,3.16806100,3.15575800
-2.46457587,4.75516700,5.52103800
-2.46451187,6.33919800,7.10199300
-2.46444787,7.92630300,7.88939400
-2.46438387,8.71678100,8.67987200
-2.46431987,9.51033400,9.46727400
-2.46425587,8.71678100,8.67987200
-2.46419187,8.71678100,8.67987200
-2.46412787,7.13275100,7.10199300
-2.46406387,5.54872000,5.52103800
-2.46399987,3.16806100,3.15575800
-2.46393587,0.79047730,0.78740150
-2.46387187,-1.58403000,-1.57787900
-2.46380787,-3.16806100,-3.15575800
-2.46374387,-5.54872000,-5.52103800
-2.46367987,-7.13275100,-7.10199300
-2.46361587,-7.92630300,-8.67987200
-2.46355187,-8.71678100,-8.67987200
-2.46348787,-8.71678100,-9.46727400
-2.46342387,-8.71678100,-8.67987200
-2.46335987,-7.92630300,-7.88939400
-2.46329587,-7.13275100,-6.31151500
-2.46323187,-5.54872000,-4.73363700
-2.46316787,-3.16806100,-2.36528000
-2.46310387,-1.58403000,-0.78740150
-2.46303987,0.79047730,1.57787900
-2.46297587,3.16806100,3.15575800
-2.46291187,4.75516700,4.73363700
-2.46284787,6.33919800,6.31151500
-2.46278387,7.92630300,7.88939400
-2.46271987,8.71678100,8.67987200
-2.46265587,8.71678100,9.46727400
-2.46259187,8.71678100,8.67987200
-2.46252787,7.92630300,8.67987200
-2.46246387,7.13275100,7.10199300
-2.46239987,5.54872000,4.73363700
-2.46233587,3.16806100,3.15575800
-2.46227187,1.58403000,0.78740150
-2.46220787,-0.79047730,-1.57787900
-2.46214387,-3.16806100,-3.15575800
-2.46207987,-4.75516700,-5.52103800
-2.46201587,-6.33919800,-7.10199300
-2.46195187,-7.92630300,-7.88939400
-2.46188787,-8.71678100,-8.67987200
-2.46182387,-8.71678100,-9.46727400
-2.46175987,-7.92630300,-8.67987200
-2.46169587,-7.92630300,-8.67987200
-2.46163187,-6.33919800,-7.10199300
-2.46156787,-4.75516700,-4.73363700
-2.46150387,-3.16806100,-3.15575800
-2.46143987,-0.79047730,-0.78740150
-2.46137587,1.58403000,1.57787900
-2.46131187,3.16806100,3.15575800
-2.46124787,4.75516700,5.52103800
-2.46118387,7.13275100,7.10199300
-2.46111987,7.92630300,7.88939400
-2.46105587,8.71678100,8.67987200
-2.46099187,8.71678100,9.46727400
-2.46092787,8.71678100,8.67987200
-2.46086387,7.13275100,7.10199300
-2.46079987,6.33919800,6.31151500
-2.46073587,4.75516700,4.73363700
-2.46067187,3.16806100,2.36528000
-2.46060787,0.79047730,0.00000000
-2.46054387,-1.58403000,-2.36528000
-2.46047987,-3.96161400,-3.94315900
-2.46041587,-5.54872000,-6.31151500
-2.46035187,-7.13275100,-7.10199300
-2.46028787,-8.71678100,-8.67987200
-2.46022387,-9.51033400,-9.46727400
-2.46015987,-9.51033400,-9.46727400
-2.46009587,-8.71678100,-8.67987200
-2.46003187,-7.92630300,-8.67987200
-2.45996787,-7.13275100,-7.10199300
-2.45990387,-5.54872000,-5.52103800
-2.45983987,-3.16806100,-3.15575800
-2.45977587,-0.79047730,-0.78740150
-2.45971187,1.58403000,1.57787900
-2.45964787,3.16806100,3.15575800
-2.45958387,4.75516700,5.52103800
-2.45951987,7.13275100,7.10199300
-2.45945587,7.92630300,7.88939400
-2.45939187,8.71678100,8.67987200
-2.45932787,8.71678100,9.46727400
-2.45926387,8.71678100,8.67987200
-2.45919987,7.92630300,7.88939400
-2.45913587,6.33919800,7.10199300
-2.45907187,4.75516700,4.73363700
-2.45900787,3.16806100,3.15575800
-2.45894387,0.79047730,0.78740150
-2.45887987,-1.58403000,-1.57787900
-2.45881587,-3.16806100,-3.94315900
-2.45875187,-5.54872000,-6.31151500
-2.45868787,-7.13275100,-7.88939400
-2.45862387,-8.71678100,-8.67987200
-2.45855987,-9.51033400,-9.46727400
-2.45849587,-9.51033400,-10.25775000
-2.45843187,-9.51033400,-9.46727400
-2.45836787,-8.71678100,-8.67987200
-2.45830387,-7.92630300,-7.10199300
-2.45823987,-5.54872000,-5.52103800
-2.45817587,-3.96161400,-3.94315900
-2.45811187,-1.58403000,-1.57787900
-2.45804787,0.79047730,1.57787900
-2.45798387,3.16806100,3.15575800
-2.45791987,4.75516700,5.52103800
-2.45785587,6.33919800,7.10199300
-2.45779187,7.92630300,8.67987200
-2.45772787,8.71678100,9.46727400
-2.45766387,9.51033400,9.46727400
-2.45759987,9.51033400,9.46727400
-2.45753587,8.71678100,8.67987200
-2.45747187,7.13275100,7.10199300
-2.45740787,6.33919800,5.52103800
-2.45734387,3.96161400,3.94315900
-2.45727987,2.37758400,1.57787900
-2.45721587,0.00000000,0.00000000
-2.45715187,-2.37758400,-3.15575800
-2.45708787,-3.96161400,-4.73363700
-2.45702387,-5.54872000,-6.31151500
-2.45695987,-7.92630300,-7.10199300
-2.45689587,-8.71678100,-8.67987200
-2.45683187,-8.71678100,-8.67987200
-2.45676787,-8.71678100,-9.46727400
-2.45670387,-8.71678100,-8.67987200
-2.45663987,-7.13275100,-7.10199300
-2.45657587,-6.33919800,-5.52103800
-2.45651187,-4.75516700,-3.94315900
-2.45644787,-2.37758400,-2.36528000
-2.45638387,0.00000000,0.00000000
-2.45631987,2.37758400,1.57787900
-2.45625587,3.96161400,3.94315900
-2.45619187,5.54872000,6.31151500
-2.45612787,6.33919800,6.31151500
-2.45606387,7.13275100,7.88939400
-2.45599987,7.13275100,7.88939400
-2.45593587,7.13275100,8.67987200
-2.45587187,7.13275100,7.10199300
-2.45580787,6.33919800,6.31151500
-2.45574387,4.75516700,4.73363700
-2.45567987,3.16806100,3.15575800
-2.45561587,1.58403000,0.78740150
-2.45555187,-1.58403000,-1.57787900
